id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
28143,boardgame,Race for the Galaxy,2007,2,4,60,30,60,12,38903,7.76408,7.66977,46710,948,922,6690,8475,3227,2.9764
178900,boardgame,Codenames,2015,2,8,15,15,15,14,45434,7.75346,7.66324,71766,643,363,4193,6364,1263,1.3207
12493,boardgame,Twilight Imperium (Third Edition),2005,3,6,240,180,240,14,16815,7.88784,7.66273,18961,599,774,4989,4119,1995,4.2461
146021,boardgame,Eldritch Horror,2013,1,8,240,120,240,14,21765,7.89034,7.66162,32450,464,798,6387,3582,1207,3.3074
62219,boardgame,Dominant Species,2010,2,6,240,120,240,14,14844,7.84974,7.66108,15700,307,1233,5789,3448,1283,4.0335
110327,boardgame,Lords of Waterdeep,2012,2,5,120,60,120,12,36139,7.77401,7.65659,44222,457,1191,7498,6295,1888,2.4852
205896,boardgame,Rising Sun,2018,3,5,120,90,120,14,8087,8.08239,7.65599,12781,128,493,3451,1660,286,3.2238
159675,boardgame,Fields of Arle,2014,1,2,120,60,120,13,5177,8.15547,7.654,8345,122,959,3454,1067,295,3.8983
157354,boardgame,Five Tribes,2014,2,4,80,40,80,13,23552,7.79179,7.64887,30584,296,1269,6867,3686,970,2.8876
93,boardgame,El Grande,1995,2,5,120,60,120,12,20517,7.78334,7.64099,19650,348,1309,4718,4851,1983,3.0721
146508,boardgame,T.I.M.E Stories,2015,2,4,240,90,240,12,17090,7.83584,7.64076,26006,398,919,6072,2705,382,2.6361
163412,boardgame,Patchwork,2014,2,2,30,15,30,8,29697,7.7402,7.62588,43382,290,805,4331,4103,832,1.6995
40834,boardgame,Dominion: Intrigue,2009,2,4,30,30,30,13,26059,7.75485,7.62462,37319,530,439,2706,3745,1256,2.4387
201808,boardgame,Clank!: A Deck-Building Adventure,2016,2,4,60,30,60,12,13572,7.83751,7.61008,17968,180,1140,5717,2109,232,2.2155
132531,boardgame,Roll for the Galaxy,2014,2,5,45,45,45,13,19783,7.758,7.60901,24978,351,1250,5952,3146,692,2.7572
172386,boardgame,Mombasa,2015,2,4,150,75,150,12,7700,7.94293,7.60214,9788,114,695,2696,1186,439,3.8838
37111,boardgame,Battlestar Galactica: The Board Game,2008,3,6,300,120,300,10,28764,7.74551,7.60082,31819,742,677,5089,6066,1984,3.2319
125153,boardgame,The Gallerist,2015,1,4,150,60,150,13,6047,8.02349,7.59663,8502,82,983,3532,1191,454,4.2952
2511,boardgame,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,1,8,120,60,120,10,12267,7.81645,7.58972,24320,453,891,5233,2564,476,2.7227
185343,boardgame,Anachrony,2017,1,4,120,30,120,15,5179,8.13754,7.58844,7937,61,749,3392,1157,274,3.9599
73439,boardgame,Troyes,2010,2,4,90,90,90,12,14026,7.77036,7.58291,15103,166,1143,4281,2835,971,3.4573
103885,boardgame,Star Wars: X-Wing Miniatures Game,2012,2,2,45,30,45,14,19983,7.79557,7.58248,33533,636,337,2130,3430,1072,2.4785
150376,boardgame,Dead of Winter: A Crossroads Game,2014,2,5,120,60,120,13,30466,7.71883,7.57511,41530,828,934,7420,4444,1224,3.0016
144733,boardgame,Russian Railroads,2013,2,4,120,90,120,12,11298,7.79751,7.57415,12126,137,860,3070,1856,652,3.4141
42,boardgame,Tigris & Euphrates,1997,2,4,90,90,90,12,22395,7.71279,7.57188,24886,544,1164,5019,6008,2524,3.5277
102680,boardgame,Trajan,2011,2,4,120,60,120,12,11798,7.78566,7.56356,13756,221,932,3735,2261,717,3.6736
